,id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
0,AH17A072,1,0,0,0,0,0
1,AH21C001,0,0,0,0,1,0
2,CPO100,0,0,0,1,0,0
3,AH18J067,0,0,0,1,0,0
4,AH17G002,0,0,0,0,0,1
5,AH17C019,0,1,0,0,0,0
6,AH19J066,0,1,0,0,0,0
7,CPO512,0,1,0,0,0,0
8,AH17B010,0,0,0,0,1,0
9,AH19B019,0,0,0,0,1,0
10,AH19G042,0,0,0,0,1,0
11,AH17E009,1,0,0,0,0,0
12,AH17E019,0,1,0,0,0,0
13,CPO466,0,0,0,0,1,0
14,AH16L034,0,0,0,1,0,0
15,AH17B038,0,1,0,0,0,0
16,AH17A065,0,0,0,0,0,1
17,AH20L011,0,0,0,1,0,0
18,AH17D104,0,0,0,0,1,0
19,AH17D052,0,0,0,0,1,0
20,AH17E039,0,1,0,0,0,0
21,AH21K050,0,0,0,1,0,0
22,AH18K079,0,0,0,0,1,0
23,CPO497,0,0,0,0,1,0
24,AH17E002,0,1,0,0,0,0
25,AH17B063,1,0,0,0,0,0
26,AH19E056,0,1,0,0,0,0
27,AH22A148,0,1,0,0,0,0
28,AH17E035,0,0,0,1,0,0
29,AH17B059,0,0,0,1,0,0
30,AH17E169,0,0,0,0,1,0
31,AH17K030,0,1,0,0,0,0
32,AH19L016,0,1,0,0,0,0
33,AH17D114,0,0,0,1,0,0
34,AH20D012,0,0,0,1,0,0
35,CPO181,0,0,0,0,1,0
36,AH17E025,0,0,0,1,0,0
37,AH16L007,0,1,0,0,0,0
38,AH17D101,0,0,0,1,0,0
39,CPO159,1,0,0,0,0,0
40,AH17E172,0,0,0,1,0,0
41,AH17G012,0,0,0,1,0,0
42,AH17E017,0,0,0,0,1,0
43,AH17D047,1,0,0,0,0,0
44,AH17E167,0,0,0,0,1,0
45,AH17C069,0,0,0,1,0,0
46,AH17C022,0,0,0,0,1,0
47,CPO144,0,0,0,1,0,0
48,AH19E003,0,0,0,0,1,0
49,AH17B062,0,0,0,0,0,1
50,CPO155,0,1,0,0,0,0
51,AH16L023,0,0,0,0,1,0
52,AH19A001,0,0,0,1,0,0
53,AH16L021,0,0,0,0,1,0
54,AH17E016,0,0,0,0,1,0
55,AH17B061,0,0,0,0,1,0
56,AH17B068,1,0,0,0,0,0
57,AH16L004,0,0,0,1,0,0
58,AH19D057,0,0,0,0,1,0
59,AH17D116,0,0,0,0,0,1
60,AH17D050,0,1,0,0,0,0
61,CPO148,0,1,0,0,0,0
62,AH21H019,0,0,0,0,1,0
63,CPO509,0,0,0,0,1,0
64,AH16L015,1,0,0,0,0,0
65,AH17D096,0,0,0,0,1,0
66,AH20F061,0,0,0,1,0,0
67,CPO506,0,0,0,0,1,0
68,AH20I061,0,0,0,0,1,0
69,AH20E072,0,0,0,0,1,0
70,CPO168,0,1,0,0,0,0
71,AH17A074,0,0,0,0,1,0
72,CPO486,1,0,0,0,0,0
73,AH17E168,0,0,0,1,0,0
74,AH20B011,1,0,0,0,0,0
75,AH17A081,0,1,0,0,0,0
76,AH17E089,0,1,0,0,0,0
77,AH21C036,0,0,0,0,1,0
78,AH17B074,0,0,0,1,0,0
79,AH16L020,0,0,0,1,0,0
80,AH17D111,0,1,0,0,0,0
81,AH20G033,0,0,0,0,1,0
82,CPO135,1,0,0,0,0,0
83,AH17A049,0,0,0,1,0,0
84,AH17A029,0,0,0,0,1,0
85,AH17B052,0,0,0,1,0,0
86,AH17B006,1,0,0,0,0,0
87,AH19I029,0,1,0,0,0,0
88,AH17E038,0,0,0,1,0,0
89,AH17E011,0,0,0,0,1,0
90,AH17E015,0,1,0,0,0,0
91,AH17D106,0,0,0,0,1,0
92,AH17B001,0,1,0,0,0,0
93,AH17E032,0,1,0,0,0,0
94,AH17A041,0,0,0,0,1,0
95,AH17D094,0,0,0,1,0,0
96,AH17B009,0,0,0,0,1,0
97,AH18L045,0,0,0,0,1,0
